subject,pipeline,mean_accuracy,std_accuracy,n_epochs
A01,CSP+LDA,0.7707,0.0469,288
A01,CSP+SVM,0.7777,0.0206,288
A02,CSP+LDA,0.5587,0.0639,288
A02,CSP+SVM,0.5832,0.0546,288
A03,CSP+LDA,0.7463,0.0355,288
A03,CSP+SVM,0.7707,0.0539,288
A04,CSP+LDA,0.5243,0.0169,288
A04,CSP+SVM,0.4653,0.0469,288
A05,CSP+LDA,0.3719,0.0707,288
A05,CSP+SVM,0.4098,0.0480,288
A06,CSP+LDA,0.4586,0.0620,288
A06,CSP+SVM,0.3926,0.0888,288
A07,CSP+LDA,0.7467,0.0698,288
A07,CSP+SVM,0.7365,0.0802,288
A08,CSP+LDA,0.8194,0.0751,288
A08,CSP+SVM,0.7986,0.0417,288
A09,CSP+LDA,0.6458,0.0283,288
A09,CSP+SVM,0.6703,0.0513,288
