subject,pipeline,mean_accuracy,std_accuracy,n_epochs
A01,AE+MLP,0.2633,0.1186,288
A01,AE+SVM,0.3147,0.2102,288
A02,AE+MLP,0.2360,0.1340,288
A02,AE+SVM,0.1713,0.1618,288
A03,AE+MLP,0.2667,0.1352,288
A03,AE+SVM,0.3260,0.1799,288
A04,AE+MLP,0.2693,0.1576,288
A04,AE+SVM,0.2880,0.1925,288
A05,AE+MLP,0.2300,0.1524,288
A05,AE+SVM,0.2480,0.1840,288
A06,AE+MLP,0.2747,0.1763,288
A06,AE+SVM,0.2693,0.2018,288
A07,AE+MLP,0.2367,0.1602,288
A07,AE+SVM,0.2713,0.2156,288
A08,AE+MLP,0.2413,0.1531,288
A08,AE+SVM,0.3187,0.2018,288
A09,AE+MLP,0.2873,0.2083,288
A09,AE+SVM,0.3453,0.2016,288
